"Sector" "Source" "Month" "EmissCO2_MillMetricTons" "EnerCons_TrillBTU" "IPI" "MPI"
"1" "Commercial" "Coal" 1973-01-01 1.945 20.252 43.9783 39.7213
"2" "Commercial" "Coal" 1973-02-01 1.666 17.347 44.6103 40.3523
"3" "Commercial" "Coal" 1973-03-01 1.308 13.621 44.6294 40.4256
"4" "Commercial" "Coal" 1973-04-01 0.856 8.918 44.568 40.3693
"5" "Commercial" "Coal" 1973-05-01 0.869 9.047 44.8608 40.6329
"6" "Commercial" "Coal" 1973-06-01 0.872 9.076 44.9186 40.646
"7" "Commercial" "Coal" 1973-07-01 0.861 8.961 45.085 40.8317
"8" "Commercial" "Coal" 1973-08-01 0.93 9.68 45.0221 40.7225
"9" "Commercial" "Coal" 1973-09-01 1.253 13.046 45.3801 41.0641
"10" "Commercial" "Coal" 1973-10-01 1.46 15.203 45.7462 41.4697
"11" "Commercial" "Coal" 1973-11-01 1.616 16.829 45.9548 41.7552
"12" "Commercial" "Coal" 1973-12-01 1.721 17.922 45.8252 41.7607
"13" "Commercial" "Coal" 1974-01-01 2.252 23.448 45.5207 41.409
"14" "Commercial" "Coal" 1974-02-01 1.921 20.009 45.3825 41.2364
"15" "Commercial" "Coal" 1974-03-01 1.54 16.035 45.3798 41.2111
"16" "Commercial" "Coal" 1974-04-01 1.064 11.082 45.247 41.0347
"17" "Commercial" "Coal" 1974-05-01 0.917 9.554 45.6083 41.3247
"18" "Commercial" "Coal" 1974-06-01 0.876 9.126 45.5216 41.3434
"19" "Commercial" "Coal" 1974-07-01 0.815 8.484 45.6136 41.3347
"20" "Commercial" "Coal" 1974-08-01 1.151 11.984 45.1303 40.9439
"21" "Commercial" "Coal" 1974-09-01 1.408 14.659 45.1377 41.001
"22" "Commercial" "Coal" 1974-10-01 1.547 16.111 44.995 40.7078
"23" "Commercial" "Coal" 1974-11-01 1.528 15.912 43.5148 39.4589
"24" "Commercial" "Coal" 1974-12-01 1.739 18.114 41.9503 37.6335
"25" "Commercial" "Coal" 1975-01-01 1.963 20.445 41.3689 36.8361
"26" "Commercial" "Coal" 1975-02-01 1.282 13.354 40.4252 35.8041
"27" "Commercial" "Coal" 1975-03-01 1.247 12.98 39.9804 35.3082
"28" "Commercial" "Coal" 1975-04-01 0.828 8.617 40.0572 35.3111
"29" "Commercial" "Coal" 1975-05-01 0.663 6.903 39.9402 35.2417
"30" "Commercial" "Coal" 1975-06-01 0.726 7.558 40.1927 35.5406
"31" "Commercial" "Coal" 1975-07-01 0.889 9.256 40.6115 36.0603
"32" "Commercial" "Coal" 1975-08-01 0.829 8.633 41.0114 36.4383
"33" "Commercial" "Coal" 1975-09-01 1.134 11.812 41.5422 37.0753
"34" "Commercial" "Coal" 1975-10-01 1.294 13.479 41.7224 37.2789
"35" "Commercial" "Coal" 1975-11-01 1.359 14.149 41.7797 37.3605
"36" "Commercial" "Coal" 1975-12-01 1.868 19.447 42.3462 37.8824
"37" "Commercial" "Coal" 1976-01-01 1.776 18.498 42.9082 38.3468
"38" "Commercial" "Coal" 1976-02-01 1.101 11.464 43.3407 38.9552
"39" "Commercial" "Coal" 1976-03-01 1.008 10.494 43.4281 39.0742
"40" "Commercial" "Coal" 1976-04-01 1.161 12.095 43.6518 39.2885
"41" "Commercial" "Coal" 1976-05-01 0.907 9.443 43.8315 39.4824
"42" "Commercial" "Coal" 1976-06-01 0.812 8.457 43.8775 39.5235
"43" "Commercial" "Coal" 1976-07-01 0.624 6.5 44.1248 39.8053
"44" "Commercial" "Coal" 1976-08-01 0.831 8.651 44.4262 40.0523
"45" "Commercial" "Coal" 1976-09-01 0.929 9.669 44.5711 40.1556
"46" "Commercial" "Coal" 1976-10-01 1.197 12.467 44.56 40.0932
"47" "Commercial" "Coal" 1976-11-01 1.402 14.601 45.2454 40.6384
"48" "Commercial" "Coal" 1976-12-01 2.096 21.829 45.731 41.0842
"49" "Commercial" "Coal" 1977-01-01 1.949 20.297 45.4156 40.9339
"50" "Commercial" "Coal" 1977-02-01 1.309 13.63 46.1358 41.6914
"51" "Commercial" "Coal" 1977-03-01 1.152 11.997 46.7158 42.3013
"52" "Commercial" "Coal" 1977-04-01 1.19 12.393 47.1719 42.7369
"53" "Commercial" "Coal" 1977-05-01 0.927 9.653 47.541 43.0881
"54" "Commercial" "Coal" 1977-06-01 0.96 10 47.9063 43.4764
"55" "Commercial" "Coal" 1977-07-01 0.723 7.525 47.9714 43.4826
"56" "Commercial" "Coal" 1977-08-01 0.897 9.34 48.0157 43.7129
"57" "Commercial" "Coal" 1977-09-01 0.846 8.812 48.2097 43.7109
"58" "Commercial" "Coal" 1977-10-01 1.087 11.32 48.2839 43.8106
"59" "Commercial" "Coal" 1977-11-01 1.453 15.132 48.3755 43.9317
"60" "Commercial" "Coal" 1977-12-01 1.696 17.657 48.4573 44.4234
"61" "Commercial" "Coal" 1978-01-01 1.701 17.714 47.7512 43.7355
"62" "Commercial" "Coal" 1978-02-01 1.746 18.181 48.0098 43.8946
"63" "Commercial" "Coal" 1978-03-01 1.359 14.15 48.9358 44.6758
"64" "Commercial" "Coal" 1978-04-01 1.15 11.971 49.9074 45.3777
"65" "Commercial" "Coal" 1978-05-01 1.037 10.794 50.1513 45.6127
"66" "Commercial" "Coal" 1978-06-01 1.003 10.448 50.4751 45.9548
"67" "Commercial" "Coal" 1978-07-01 0.909 9.462 50.4371 45.9204
"68" "Commercial" "Coal" 1978-08-01 0.927 9.653 50.6393 46.1721
"69" "Commercial" "Coal" 1978-09-01 1.06 11.037 50.7631 46.4113
"70" "Commercial" "Coal" 1978-10-01 1.53 15.932 51.1523 46.7367
"71" "Commercial" "Coal" 1978-11-01 1.626 16.936 51.5456 47.1798
"72" "Commercial" "Coal" 1978-12-01 1.753 18.25 51.806 47.5129
"73" "Commercial" "Coal" 1979-01-01 2.206 22.972 51.525 47.1722
"74" "Commercial" "Coal" 1979-02-01 1.336 13.915 51.778 47.3093
"75" "Commercial" "Coal" 1979-03-01 1.053 10.961 51.9382 47.5389
"76" "Commercial" "Coal" 1979-04-01 0.945 9.84 51.3251 46.7402
"77" "Commercial" "Coal" 1979-05-01 0.854 8.897 51.7782 47.3949
"78" "Commercial" "Coal" 1979-06-01 0.877 9.128 51.7865 47.4538
"79" "Commercial" "Coal" 1979-07-01 0.76 7.918 51.7029 47.4842
"80" "Commercial" "Coal" 1979-08-01 0.719 7.491 51.3658 46.8595
"81" "Commercial" "Coal" 1979-09-01 0.955 9.947 51.3623 46.9164
"82" "Commercial" "Coal" 1979-10-01 1.333 13.879 51.7175 47.1641
"83" "Commercial" "Coal" 1979-11-01 1.594 16.601 51.6341 46.9875
"84" "Commercial" "Coal" 1979-12-01 1.7 17.705 51.6694 47.138
"85" "Commercial" "Coal" 1980-01-01 1.478 15.387 51.944 47.375
"86" "Commercial" "Coal" 1980-02-01 1.293 13.464 51.9633 47.3055
"87" "Commercial" "Coal" 1980-03-01 0.922 9.599 51.7454 46.9162
"88" "Commercial" "Coal" 1980-04-01 0.988 10.294 50.7197 45.9344
"89" "Commercial" "Coal" 1980-05-01 0.597 6.215 49.4766 44.5099
"90" "Commercial" "Coal" 1980-06-01 0.472 4.915 48.8383 43.782
"91" "Commercial" "Coal" 1980-07-01 0.585 6.091 48.4907 43.2893
"92" "Commercial" "Coal" 1980-08-01 0.552 5.752 48.6456 43.6057
"93" "Commercial" "Coal" 1980-09-01 0.734 7.64 49.4578 44.3692
"94" "Commercial" "Coal" 1980-10-01 1 10.418 50.0861 45.21
"95" "Commercial" "Coal" 1980-11-01 1.059 11.024 50.9209 46.0254
"96" "Commercial" "Coal" 1980-12-01 1.354 14.105 51.257 46.1998
"97" "Commercial" "Coal" 1981-01-01 1.584 16.494 50.9328 46.0071
"98" "Commercial" "Coal" 1981-02-01 1.26 13.121 50.7237 45.7821
